,date
841,2013-08-02
842,2014-08-02
845,2013-08-03
846,2014-08-03
849,2013-08-04
850,2014-08-04
853,2013-08-05
854,2014-08-05
857,2013-08-06
858,2014-08-06
861,2013-08-07
862,2014-08-07
865,2013-08-08
866,2014-08-08
869,2013-08-09
870,2014-08-09
873,2013-08-10
874,2014-08-10
877,2013-08-11
878,2014-08-11
881,2013-08-12
882,2014-08-12
885,2013-08-13
886,2014-08-13
889,2013-08-14
890,2014-08-14
893,2013-08-15
894,2014-08-15
897,2013-08-16
898,2014-08-16
901,2013-08-17
902,2014-08-17
905,2013-08-18
906,2014-08-18
909,2013-08-19
910,2014-08-19
913,2013-08-20
914,2014-08-20
917,2013-08-21
918,2014-08-21
921,2013-08-22
922,2014-08-22
925,2013-08-23
926,2014-08-23
929,2013-08-24
930,2014-08-24
933,2013-08-25
934,2014-08-25
937,2013-08-26
938,2014-08-26
941,2013-08-27
942,2014-08-27
945,2013-08-28
946,2014-08-28
949,2013-08-29
950,2014-08-29
953,2013-08-30
954,2014-08-30
957,2013-08-31
958,2014-08-31
961,2013-09-01
962,2014-09-01
965,2013-09-02
966,2014-09-02
969,2013-09-03
970,2014-09-03
973,2013-09-04
974,2014-09-04
977,2013-09-05
978,2014-09-05
981,2013-09-06
982,2014-09-06
985,2013-09-07
986,2014-09-07
989,2013-09-08
990,2014-09-08
993,2013-09-09
994,2014-09-09
997,2013-09-10
998,2014-09-10
1001,2013-09-11
1002,2014-09-11
1005,2013-09-12
1006,2014-09-12
1009,2013-09-13
1010,2014-09-13
1013,2013-09-14
1014,2014-09-14
1017,2013-09-15
1018,2014-09-15
1021,2013-09-16
1022,2014-09-16
1025,2013-09-17
1026,2014-09-17
1029,2013-09-18
1030,2014-09-18
1033,2013-09-19
1034,2014-09-19
1037,2013-09-20
1038,2014-09-20
1041,2013-09-21
1042,2014-09-21
1045,2013-09-22
1046,2014-09-22
1049,2013-09-23
1050,2014-09-23
1053,2013-09-24
1054,2014-09-24
1057,2013-09-25
1058,2014-09-25
1061,2013-09-26
1062,2014-09-26
1065,2013-09-27
1066,2014-09-27
1069,2013-09-28
1070,2014-09-28
1073,2013-09-29
1074,2014-09-29
1077,2013-09-30
1078,2014-09-30
1081,2013-10-01
1082,2014-10-01
